iter	RMSE
0	0.2622067293
1	0.2558321755
2	0.2509350704
3	0.2453535334
4	0.2398734436
5	0.2348400618
6	0.2302112019
7	0.2255920897
8	0.2215720254
9	0.2177686999
10	0.214082698
11	0.2101078124
12	0.2061049529
13	0.2031885825
14	0.1996595011
15	0.1966250046
16	0.1957761467
17	0.1926201914
18	0.1902888352
19	0.1876485291
20	0.1855872165
21	0.1838036493
22	0.1820387035
23	0.1805429108
24	0.1784710432
25	0.1758887263
26	0.174390112
27	0.1725065472
28	0.1703468315
29	0.1684271426
30	0.1673116509
31	0.1662487992
32	0.1648321057
33	0.1635013162
34	0.162094123
35	0.1607625844
36	0.1592867756
37	0.1583568947
38	0.1567159678
39	0.1557816379
40	0.1546514326
41	0.1533462972
42	0.1522208708
43	0.1509283125
44	0.1500360958
45	0.1492990257
46	0.1484306112
47	0.1475593188
48	0.1471441945
49	0.1467001599
50	0.145990156
51	0.1443157611
52	0.1437380662
53	0.1429125052
54	0.1416561533
55	0.1407949537
56	0.1399356314
57	0.1386133988
58	0.1377034276
59	0.1361878242
60	0.1349198519
61	0.1346616335
62	0.1334522638
63	0.132642829
64	0.1321515378
65	0.1319630691
66	0.131791287
67	0.1315945229
68	0.1309268906
69	0.1300356822
70	0.129953947
71	0.12976031
72	0.1290660988
73	0.1284692453
74	0.1276247071
75	0.1270226655
76	0.1262276659
77	0.1252331543
78	0.1244954455
79	0.1242760225
80	0.1237663322
81	0.1233867179
82	0.1223188779
83	0.1214294662
84	0.120733575
85	0.1206389201
86	0.1201753306
87	0.1197898971
88	0.1190506498
89	0.1185413641
90	0.1178053564
91	0.1171267597
92	0.116781531
93	0.1162170729
94	0.1159363378
95	0.1149184594
96	0.114839944
97	0.1145236858
98	0.1139934566
99	0.1134966044
100	0.1131199007
101	0.1124037646
102	0.1115501215
103	0.1107975227
104	0.1102315157
105	0.1096867677
106	0.1091776787
107	0.1089173012
108	0.1085356292
109	0.1080303659
110	0.107513658
111	0.1069567062
112	0.1067313681
113	0.1062778672
114	0.1057673625
115	0.1052894412
116	0.1051001457
117	0.1046475837
118	0.1043282789
119	0.1037571338
120	0.102996454
121	0.1024591912
122	0.1019797242
123	0.1015673049
124	0.1013097492
125	0.1008746897
126	0.1007169088
127	0.1001205585
128	0.09995381323
129	0.09950487245
130	0.09939136466
131	0.09922906927
132	0.09879109192
133	0.09843929142
134	0.09804395578
135	0.09792490535
136	0.09757435519
137	0.0971745594
138	0.09647371053
139	0.09607209144
140	0.09565142877
141	0.09542138964
142	0.0951015304
143	0.09478130512
144	0.09436916497
145	0.09417291945
146	0.0939709561
147	0.09388234102
148	0.0933919134
149	0.09328772675
150	0.09317382002
151	0.09261380737
152	0.09223363582
153	0.09189264103
154	0.09155383261
155	0.0911620557
156	0.09084400655
