,departement,frequence_mesure,annee,type_mesure,population,code_dep
98,2024-DEP-30,A,2022,PTOT,777323.0,30
99,2024-DEP-70,A,2022,PTOT,239980.0,70
100,2024-DEP-95,A,2022,PMUN,1270845.0,95
101,2024-DEP-59,A,2022,PCAP,30079.0,59
102,2024-DEP-04,A,2022,PTOT,171621.0,04
103,2024-DEP-09,A,2022,PMUN,155339.0,09
104,2024-DEP-29,A,2022,PTOT,952351.0,29
105,2024-DEP-63,A,2022,PMUN,664385.0,63
106,2024-DEP-83,A,2022,PTOT,1124489.0,83
107,2024-DEP-54,A,2022,PCAP,11154.0,54
108,2024-DEP-54,A,2022,PMUN,732898.0,54
109,2024-DEP-95,A,2022,PCAP,9493.0,95
110,2024-DEP-61,A,2022,PMUN,276144.0,61
111,2024-DEP-17,A,2022,PTOT,683710.0,17
112,2024-DEP-06,A,2022,PMUN,1114579.0,06
113,2024-DEP-92,A,2022,PMUN,1647435.0,92
114,2024-DEP-2B,A,2022,PMUN,185231.0,2B
115,2024-DEP-48,A,2022,PCAP,3546.0,48
116,2024-DEP-84,A,2022,PCAP,10560.0,84
117,2024-DEP-52,A,2022,PCAP,4772.0,52
118,2024-DEP-62,A,2022,PMUN,1460184.0,62
119,2024-DEP-972,A,2022,PMUN,361019.0,72
120,2024-DEP-28,A,2022,PCAP,9885.0,28
121,2024-DEP-17,A,2022,PCAP,15550.0,17
122,2024-DEP-91,A,2022,PCAP,13561.0,91
123,2024-DEP-49,A,2022,PTOT,848029.0,49
124,2024-DEP-27,A,2022,PTOT,614731.0,27
125,2024-DEP-974,A,2022,PTOT,891190.0,74
126,2024-DEP-81,A,2022,PTOT,406186.0,81
127,2024-DEP-48,A,2022,PMUN,76503.0,48
128,2024-DEP-17,A,2022,PMUN,668160.0,17
129,2024-DEP-36,A,2022,PMUN,216809.0,36
130,2024-DEP-82,A,2022,PCAP,5740.0,82
131,2024-DEP-58,A,2022,PCAP,4996.0,58
132,2024-DEP-87,A,2022,PCAP,6316.0,87
133,2024-DEP-21,A,2022,PCAP,11441.0,21
134,2024-DEP-32,A,2022,PCAP,6339.0,32
135,2024-DEP-78,A,2022,PMUN,1470778.0,78
136,2024-DEP-59,A,2022,PMUN,2616909.0,59
137,2024-DEP-25,A,2022,PTOT,562072.0,25
138,2024-DEP-01,A,2022,PCAP,15515.0,01
139,2024-DEP-85,A,2022,PCAP,18719.0,85
140,2024-DEP-92,A,2022,PCAP,15591.0,92
141,2024-DEP-971,A,2022,PTOT,388197.0,71
142,2024-DEP-19,A,2022,PMUN,240120.0,19
143,2024-DEP-01,A,2022,PTOT,686804.0,01
144,2024-DEP-45,A,2022,PTOT,701560.0,45
